v1,v2
spam,Congratulations your mobile number has won 750000 pounds for ongoing ICC world cup award reply with your name and address to claim prize
ham,Dear customer your HDFC bank reward points worth Rs 1500 are available for redemption login to your official netbanking portal to claim
spam,You are the only lucky winner of Rs 25 lakh in international WhatsApp lottery contact this number urgently to process your cash prize
ham,Shoppers Stop announces the festive lucky draw for all our loyal customers visit your nearest store to participate and win exciting retail vouchers
spam,Dear you have passed our interview your wage is Rs 8000 per day for simple work from home tasks click the link to start earning
ham,Naukri alert your resume has been shortlisted for the data entry role at Tech Mahindra walk in interview scheduled for tomorrow at 10 AM
spam,Legal notice from advocate you have failed the data entry contract of 700 forms pay Rs 3900 penalty immediately or face supreme court case
ham,Dear candidate please carry your original documents for the data entry interview tomorrow we do not charge any registration fees for recruitment
spam,Amazon dear customer you are the first prize winner of Tata Safari in lucky draw show please pay registration tax of Rs 5000 to dispatch
ham,Amazon Great Indian Festival is live shop now to get amazing offers on electronics and win cashback points directly to your Amazon pay wallet
spam,Wipro hiring part time employees earn up to 5000 daily by liking YouTube videos send a message to our Telegram HR to get your joining bonus
ham,Wipro campus recruitment drive begins next week check your registered email for the official interview call letter and mandatory screening details
spam,Urgent notification of lottery win your email ID is selected in our global promo send your bank details and ID proof to our agent
ham,ICICI bank alerts you have 3022 reward points expiring soon please use the iMobile app to redeem them for gift vouchers or statement credit
spam,Data entry work from home no investment complete the typing work in 5 days to earn 24000 pay the software installation fee of Rs 1000 now
ham,Your Upwork proposal for the data entry specialist project has been viewed by the client log in to your dashboard to track your application
spam,Final warning your data entry accuracy was below 90 percent pay the penalty amount to our legal team via UPI to avoid police complaint
ham,Traffic police notice your vehicle has a pending challan for overspeeding please visit the official echallan parivahan website to clear your dues
spam,Your number won a 3 days and 2 nights free stay at country club resorts in our lucky draw visit the coffee shop with your spouse to collect
ham,Max fashion weekend lucky draw is here shop for Rs 3000 and stand a chance to win a fully paid trip to Goa terms and conditions apply
spam,TCS HR team has selected your profile for remote software job pay Rs 5000 as refundable security deposit to get your official offer letter
ham,TCS does not ask for any sort of payment or security deposit from candidates at any stage of the recruitment process report suspicious emails
spam,We are a third party agency recruiting freelancers to rate hotels daily salary is 300 euros contact us on WhatsApp using the short link provided
ham,Freelancer alert a new project matching your skills in online data entry has been posted on the platform submit your bid before the deadline closes
spam,Breach of contract notice from Wixon International you have submitted blank forms pay the legal fee of 4500 to regenerate your ID immediately
ham,Important notice from SBI your KYC update is pending please visit your home branch with valid ID and address proof to avoid account suspension
spam,KBC Jio lucky draw winner congratulations you have won 25 lakh rupees call the manager on this WhatsApp number and pay processing charge
ham,Reliance Smart Bazaar invites you to our anniversary sale grab exciting offers and participate in the daily lucky draw for registered members
spam,IndiGo airlines ground staff hiring confirm your job by paying Rs 1700 for uniform and ID card charges to the given bank account
